ACTIVITY DATE,OWNER NAME,FACILITY ID,FACILITY NAME,PROGRAM STATUS,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,SCORE,GRADE,FULL ADDRESS
2018-08-10,"CHENG, FLORA",FA0042891,PAGODA INN,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,19348 RINALDI ST,PORTER RANCH,91326,70,C,"19348 RINALDI ST, PORTER RANCH, CA 91326"
2018-07-24,GLORIA BURGOS,FA0202740,TACOS EL SINALOENSE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,4813 E ROSECRANS AVE,COMPTON,90221-1851,87,B,"4813 E ROSECRANS AVE, COMPTON, CA 90221-1851"
2017-09-19,BOULEVARD LLC,FA0051336,THE DIME,ACTIVE,RESTAURANT (31-60) SEATS LOW RISK,442 N FAIRFAX AVE,LOS ANGELES,90036,93,A,"442 N FAIRFAX AVE, LOS ANGELES, CA 90036"
2018-07-17,ELITA KACHATRYAN/ARMINE SARGSY,FA0177733,AROMA BAKERY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,12502 1/2 VANOWEN ST,NORTH HOLLYWOOD,91605,90,A,"12502 1/2 VANOWEN ST, NORTH HOLLYWOOD, CA 91605"
2018-06-13,GREAT AMERICAN CHICKENT CORP,FA0033130,KFC/TACO BELL,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,2941 W IMPERIAL HWY,INGLEWOOD,90303,95,A,"2941 W IMPERIAL HWY, INGLEWOOD, CA 90303"
2018-03-19,NORTAME INC,FA0251273,SUSHIMON,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,3948 SEPULVEDA BLVD,TORRANCE,90505,91,A,"3948 SEPULVEDA BLVD, TORRANCE, CA 90505"
2018-08-14,EDWARD THOMAS HOSPITALITY CO,FA0008073,HOTEL CASA DEL MAR CATCH RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,1910 OCEAN FRONT WALK,SANTA MONICA,90401,96,A,"1910 OCEAN FRONT WALK, SANTA MONICA, CA 90401"
2018-07-19,"A & B AZUSA, INC",FA0249603,GRILL CITY - PREP KITCHEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2700 COLORADO BLVD,LOS ANGELES,90041,94,A,"2700 COLORADO BLVD, LOS ANGELES, CA 90041"
2018-07-09,CHOI JOON JAE,FA0035922,LE CAFE NOIR,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,500 S VIRGIL AVE STE 105,LOS ANGELES,90020,96,A,"500 S VIRGIL AVE STE 105, LOS ANGELES, CA 90020"
2018-08-30,SERGIO PAVON,FA0259294,THE FAMILY CAFE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,12121 WILSHIRE BLVD # 110,LOS ANGELES,90025,94,A,"12121 WILSHIRE BLVD # 110, LOS ANGELES, CA 90025"
2018-09-27,"COMMONWEALTH RESTAURANT, LLC.",FA0011919,COMMONWEALTH,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,222 S GLENOAKS BLVD,BURBANK,91502,93,A,"222 S GLENOAKS BLVD, BURBANK, CA 91502"
2018-07-11,"HA, WONSANG",FA0021804,EMON JAPANESE RESTAURANT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,325 N PASS AVE,BURBANK,91505,90,A,"325 N PASS AVE, BURBANK, CA 91505"
2018-05-11,"SILVA, RITA",FA0021748,EL ZORRO NIGHTCLUB,ACTIVE,RESTAURANT (61-150) SEATS LOW RISK,5560 LANKERSHIM BLVD,NORTH HOLLYWOOD,91601,93,A,"5560 LANKERSHIM BLVD, NORTH HOLLYWOOD, CA 91601"
2018-06-05,"NUMERO UNO AGOURA, INC",FA0042149,NUMERO UNO AGOURA HILLS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,28860 ROADSIDE DR,AGOURA HILLS,91301,97,A,"28860 ROADSIDE DR, AGOURA HILLS, CA 91301"
2018-07-03,EL JAY CORP,FA0011504,C & O TRATTORIA,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,31 WASHINGTON BLVD,MARINA DEL REY,90292,95,A,"31 WASHINGTON BLVD, MARINA DEL REY, CA 90292"
2018-05-10,"RAMIREZ, JOSE",FA0051716,THE BLVD,ACTIVE,RESTAURANT (31-60) SEATS LOW RISK,4537 E WHITTIER BLVD,LOS ANGELES,90022,95,A,"4537 E WHITTIER BLVD, LOS ANGELES, CA 90022"
2018-08-09,C G S P INC,FA0048585,CAESAR PALACE,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,6723 FOOTHILL BLVD,TUJUNGA,91042,93,A,"6723 FOOTHILL BLVD, TUJUNGA, CA 91042"
2018-09-13,"TM-BC RESTAURANT, LLC",FA0252399,CAL MARE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,8500 BEVERLY BLVD # 115,LOS ANGELES,90048,90,A,"8500 BEVERLY BLVD # 115, LOS ANGELES, CA 90048"
2018-03-13,BELTRAN ALESSANDRA,FA0034420,LA FAVORITA BAKERY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1037 W GARDENA BLVD,GARDENA,90247,91,A,"1037 W GARDENA BLVD, GARDENA, CA 90247"
2018-04-19,"HUDSON HOUSE, LP",FA0028750,HUDSON HOUSE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,514 N PACIFIC COAST HWY,REDONDO BEACH,90277,90,A,"514 N PACIFIC COAST HWY, REDONDO BEACH, CA 90277"
2018-09-27,NOHEMI CABRERA,FA0264499,CAFE TRES LECHES,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,3820 SLAUSON AVE STE E,MAYWOOD,90270-4748,98,A,"3820 SLAUSON AVE STE E, MAYWOOD, CA 90270-4748"
2018-04-24,PRAMS INC,FA0258479,TACO BELL,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,31824 THE OLD RD,CASTAIC,91384,98,A,"31824 THE OLD RD, CASTAIC, CA 91384"
2018-07-30,"BPHH INVESTMENTS., LLC",FA0242568,BOILING POINT RESTAURANT HACIENDA HEIGHTS,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,2020 HACIENDA BLVD # E,HACIENDA HEIGHTS,91745,90,A,"2020 HACIENDA BLVD # E, HACIENDA HEIGHTS, CA 91745"
2018-04-26,"AVITIA, HERMELINDA",FA0034473,LA INDIANA RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,144 N 1ST ST,LA PUENTE,91744,94,A,"144 N 1ST ST, LA PUENTE, CA 91744"
2018-04-23,"SOOD, MOHIT",FA0071167,SUBWAY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,13559 ROSCOE BLVD,PANORAMA CITY,91402,98,A,"13559 ROSCOE BLVD, PANORAMA CITY, CA 91402"
2018-09-17,"GARCIA, ELVIRA",FA0014116,CHA CHA CHICKEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1906 OCEAN AVE,SANTA MONICA,90405,92,A,"1906 OCEAN AVE, SANTA MONICA, CA 90405"
2018-09-12,MARCELA ILIANA VEGA RAMIREZ,FA0259928,FREEZZONE RASPADOS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1285 S GAREY AVE,POMONA,91766,99,A,"1285 S GAREY AVE, POMONA, CA 91766"
2018-09-04,"LIM, HONG CHHENG",FA0045677,RAINBOW DONUTS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1242 W REDONDO BEACH BLVD,GARDENA,90247,90,A,"1242 W REDONDO BEACH BLVD, GARDENA, CA 90247"
2018-09-13,VENITIAN BANQUET HALL & REST,FA0039571,VENITIAN BANQUET HALL & REST,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,6440 COLDWATER CANYON AVE,NORTH HOLLYWOOD,91606,97,A,"6440 COLDWATER CANYON AVE, NORTH HOLLYWOOD, CA 91606"
2018-06-22,SARAH KIM,FA0025868,RED IRON MONGOLIAN BBQ,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,251 STONEWOOD ST # 106,DOWNEY,90241,91,A,"251 STONEWOOD ST # 106, DOWNEY, CA 90241"
2018-06-21,"TC NOVA, LLC.",FA0055525,THAI TIFFANY,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,22214 PALOS VERDES BLVD,TORRANCE,90505,92,A,"22214 PALOS VERDES BLVD, TORRANCE, CA 90505"
2018-07-03,SODEXO MANAGEMENT INC.,FA0141329,SODEXHO MANAGEMENT INC,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,3100 THORNTON AVE,BURBANK,91504-3183,95,A,"3100 THORNTON AVE, BURBANK, CA 91504-3183"
2018-09-06,"CHEN, PHILLIP",FA0030639,RINALDI'S OF REDONDO ITALIAN,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,308 AVENUE I,REDONDO BEACH,90277,90,A,"308 AVENUE I, REDONDO BEACH, CA 90277"
2018-08-30,"TAE, DAVID H",FA0015572,GRANDYS GOODIES DONUTS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,4365 S CENTRAL AVE,LOS ANGELES,90011,94,A,"4365 S CENTRAL AVE, LOS ANGELES, CA 90011"
2018-08-01,SAN YA BBQ INC.,FA0046967,SAN YA BBQ RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,2897 W OLYMPIC BLVD STE 105,LOS ANGELES,90006,90,A,"2897 W OLYMPIC BLVD STE 105, LOS ANGELES, CA 90006"
2018-08-24,"LUCKYRICKY,INC.",FA0230665,INDIA'S GRILL,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,428 S SAN VICENTE BLVD,LOS ANGELES,90048,90,A,"428 S SAN VICENTE BLVD, LOS ANGELES, CA 90048"
2018-08-02,B CITY LLC,FA0252761,RINJANI,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,107 E BROADWAY,GLENDALE,91205,95,A,"107 E BROADWAY, GLENDALE, CA 91205"
