,ACTIVITY DATE,FACILITY ID,FACILITY NAME,PROGRAM STATUS,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,SCORE,GRADE
180976,2018-07-17,FA0166854,EL TEQUILENSE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,9126 TELEGRAPH RD,DOWNEY,90240,94,A
198269,2018-09-25,FA0058219,BERRYSTAR,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,39341 10TH ST W # C,PALMDALE,93551,92,A
197097,2018-09-19,FA0225142,SEAFOOD EXPRESS LA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2122 BEVERLY BLVD,LOS ANGELES,90057,91,A
195507,2018-09-13,FA0028368,PHO ROWLAND,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,18910 GALE AVE STE A,ROWLAND HEIGHTS,91748,93,A
188692,2018-08-15,FA0030460,JINO'S PARS,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,5844 W MANCHESTER AVE,LOS ANGELES,90045,91,A
188742,2018-08-15,FA0023696,MARIE CALLENDER'S PIE SHOP,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,7860 E FLORENCE AVE,DOWNEY,90241,94,A
190180,2018-08-22,FA0019252,DK DONER KING,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,22349 SHERMAN WAY,CANOGA PARK,91303,95,A
158112,2018-04-11,FA0226479,C.C BBQ & SUSHI INC,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,1006 E AVENUE J,LANCASTER,93535,98,A
195005,2018-09-12,FA0035895,LOS TRES HERMANOS,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,7456 VAN NUYS BLVD,VAN NUYS,91405,90,A
178075,2018-06-30,FA0008815,BEL AIR BAY CLUB-UPPER CLUB,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,16801 PACIFIC COAST HWY,PACIFIC PALISADES,90272,93,A
196953,2018-09-19,FA0020490,LA BARCA JALISCO,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,10817 VALLEY MALL,EL MONTE,91731,97,A
195270,2018-09-13,FA0221693,BLU20,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,600 WORLD WAY,LOS ANGELES,90045,90,A
190027,2018-08-21,FA0069551,RIGOS TACOS,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,20154 SATICOY ST,WINNETKA,91306,97,A
188311,2018-08-14,FA0067269,MR CHURRO BAKERY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,849 N ALAMEDA ST # #E112,LOS ANGELES,90012,94,A
132614,2017-12-13,FA0061308,EDWARDS MOVIE THEATERS WEST COVINA 18,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,1200 LAKES DR,WEST COVINA,91790,99,A
172342,2018-06-07,FA0003174,21 PIZZA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,10678 BALBOA BLVD,GRANADA HILLS,91344,95,A
178954,2018-07-09,FA0022888,LOTERIA GRILL HOLLYWOOD,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,6627 HOLLYWOOD BLVD,LOS ANGELES,90028,98,A
198120,2018-09-24,FA0027662,PANERA BREAD,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,43458 W 10TH ST W,LANCASTER,93534,96,A
175792,2018-06-20,FA0040028,VIVOLI CAFE & TRATTORIA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,7994 W SUNSET BLVD,LOS ANGELES,90046,90,A
175393,2018-06-20,FA0243637,BB'S CAFE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,502 N CITRUS AVE,COVINA,91723,97,A
196837,2018-09-19,FA0171321,EAGLE ROCK NOODLE AND GRILL,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,7315 N FIGUEROA ST # 103,LOS ANGELES,90041,93,A
182237,2018-07-20,FA0013318,CARROW'S,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,815 FREMONT AVE,SOUTH PASADENA,91030,94,A
194362,2018-09-11,FA0012529,CALIFORNIA WOK,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,8520 W 3RD ST,LOS ANGELES,90048,90,A
191640,2018-08-28,FA0048505,SPROUTS FARMER MARKET,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,835 W FOOTHILL BLVD,CLAREMONT,91711,88,B
171499,2018-06-05,FA0242921,CROWNE PLAZA LA HARBOR HOTEL,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,601 S PALOS VERDES ST,SAN PEDRO,90731,90,A
195863,2018-09-14,FA0203658,TIERRA MIA COFFEE COMPANY,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,11004 ATLANTIC AVE,LYNWOOD,90262-3002,100,A
177843,2018-06-28,FA0051770,THE COFFEE BEAN & TEA LEAF,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,8793 W BEVERLY BLVD,WEST HOLLYWOOD,90048,90,A
161231,2018-04-23,FA0030523,RICE GARDEN,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,505 S FLOWER ST # #B270,LOS ANGELES,90071,93,A
170407,2018-05-30,FA0029729,J TRANI'S,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,584 W 9TH ST,SAN PEDRO,90731,94,A
150051,2018-03-07,FA0010733,BREWCO,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,124 MANHATTAN BEACH BLVD,MANHATTAN BEACH,90266,91,A
98865,2017-06-30,FA0029253,IMPROV OLYMPIC,ACTIVE,RESTAURANT (61-150) SEATS LOW RISK,6366 HOLLYWOOD BLVD,LOS ANGELES,90028,92,A
187443,2018-08-09,FA0176647,LOS CIPOTES,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2520 E PALMDALE BLVD # K9-10,PALMDALE,93550-4914,96,A
189217,2018-08-16,FA0248389,POTATO & TEA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2968 HUNTINGTON DR,SAN MARINO,91108,90,A
185114,2018-08-01,FA0024474,FRUTIBIONICOS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,6750 PASSONS BLVD,PICO RIVERA,90660,94,A
178436,2018-07-05,FA0056947,A &T BURGERS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,9401 S AVALON BLVD,LOS ANGELES,90003,94,A
195975,2018-09-17,FA0014441,FRUIT GALERY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1 WESTMINSTER AVE,VENICE,90291,97,A
198324,2018-09-25,FA0015752,COCO ICHIBANYA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,12007 WILSHIRE BLVD,LOS ANGELES,90025,90,A
174979,2018-06-19,FA0007314,ASANEBO,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,11941 VENTURA BLVD,STUDIO CITY,91604,94,A
177166,2018-06-26,FA0038566,TRIMANA GRILL,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,21600 OXNARD ST STE 130,WOODLAND HILLS,91367,97,A
163812,2018-05-02,FA0252028,MUL DAE PO,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,808 S WESTERN AVE # 207,LOS ANGELES,90005-3301,94,A
196793,2018-09-19,FA0014601,CHINA GREAT BUFFET,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,11860 E VALLEY BLVD,EL MONTE,91732,90,A
172747,2018-06-07,FA0041905,YUMMY FOODS,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1308 PICO BLVD,SANTA MONICA,90405,94,A
178076,2018-06-30,FA0007681,CARL'S JR,ACTIVE,RESTAURANT (61-150) SEATS MODERATE RISK,573 N AZUSA AVE,COVINA,91722,95,A
178198,2018-07-02,FA0156621,SUBWAY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,10601 VALLEY BLVD #B,EL MONTE,91731,96,A
197160,2018-09-19,FA0023269,THE FLAME BROILER,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1500 CANADA BLVD # A,GLENDALE,91208,95,A
153532,2018-03-21,FA0248252,SUBWAY 5763,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,2321 E AVE S STE E-1,PALMDALE,93550,99,A
197039,2018-09-19,FA0158207,PAN E VINO,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,143 CITRUS AVE,COVINA,91723,93,A
193878,2018-09-07,FA0012844,CANTON KITCHEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,402 W MANCHESTER BLVD,INGLEWOOD,90301,92,A
196243,2018-09-18,FA0143629,CAFE CUBA & CAKES,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,12215 S HAWTHORNE BLVD,HAWTHORNE,90250,87,B
178516,2018-07-05,FA0177796,FANTASTIC BURGER GRILL,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,16480 NORWALK BLVD,CERRITOS,90703,90,A
199426,2018-09-27,FA0251897,DOMINO'S PIZZA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,20905 ROSCOE BLVD,CANOGA PARK,91304-4309,96,A
173044,2018-06-11,FA0203661,EL DELFIN RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,1800 S CENTRAL AVE,LOS ANGELES,90021,90,A
199611,2018-09-27,FA0245983,OKANE UMI,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,2439 PACIFIC COAST HWY,LOMITA,90717-2301,82,B
193862,2018-09-07,FA0166647,BETTOLINO,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,211 PALOS VERDES BLVD,REDONDO BEACH,90277-5820,96,A
197132,2018-09-19,FA0165419,SUMMER BUFFALO,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,449 S GLENOAKS BLVD,BURBANK,91505,93,A
190669,2018-08-23,FA0263286,PHO OH NGON,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1831 N HACIENDA BLVD,LA PUENTE,91744,96,A
181466,2018-07-18,FA0252680,EAST GARDEN,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,750 N HILL ST STE F,LOS ANGELES,90012-2383,91,A
186963,2018-08-08,FA0020214,KOGI TERIYAKI,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,7801 E TELEGRAPH RD STE #Q,MONTEBELLO,90640,92,A
199456,2018-09-27,FA0062002,FATBURGER,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,7450 SANTA MONICA BLVD,WEST HOLLYWOOD,90046,92,A
180010,2018-07-12,FA0164509,AUSSIE PIE KTICHEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2510 MAIN ST #B,SANTA MONICA,90405-3583,91,A
178208,2018-07-02,FA0166638,TAVOUS KITCHEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,4433 ALAMEDA ST # D-54,LOS ANGELES,90058,94,A
153847,2018-03-22,FA0247723,L.A. CAFE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,639 S SPRING ST # 2B,LOS ANGELES,90014,94,A
173603,2018-06-12,FA0048254,SHAKEY'S PIZZA,ACTIVE,RESTAURANT (151 + ) SEATS MODERATE RISK,2234 W VALLEY BLVD,ALHAMBRA,91803,98,A
197201,2018-09-19,FA0040639,WESTERN BAGEL TOO,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,21749 VENTURA BLVD,WOODLAND HILLS,91364,95,A
