Restaurant_Name,Rating,Review_Count,Price,Score,Grade
Pagoda Inn,4.0,251,$$,70,C
The Dime,3.5,319,$$,93,A
Sushimon,4.0,192,$,91,A
Catch,3.5,229,$$$,96,A
Max City BBQ,4.0,818,$$,94,A
Pho Family Restaurant,4.0,101,$,94,A
Commonwealth Restaurant,4.5,770,$$$,93,A
Emon,4.0,132,$$,90,B
Tacos El Zorro,4.0,78,$,93,A
Agoura Hills Numero Uno,4.0,112,$$,97,A
C&O Trattoria,4.0,3093,$$,95,A
The Great Caesar Banquet Hall,4.5,65,na,93,A
Cal Mare,4.0,190,$$$,90,B
La Favorita Bakery,3.0,55,$,91,A
Hudson House,4.0,967,$$,90,B
Boiling Point,3.5,609,$$,90,B
La Indiana Restaurant,4.0,94,$,94,A
Cha Cha Chicken,4.0,1920,$$,92,A
Rainbow Donuts,4.0,109,$,90,B
Red Iron Mongolian BBQ,4.0,53,$,91,A
Torrance City Farmers Market,4.5,362,$$,92,A
Rinaldi's of Redondo,3.0,118,$,90,B
Park's BBQ,4.0,1534,$$$,90,B
India's Grill,4.0,562,$$,90,B
Rinjani,4.5,107,$$,95,A
Green Cottage Restaurant - Tarzana,4.0,204,$$,92,A
Cassia,4.0,906,$$$,94,A
Arashi Sushi,4.0,679,$$,92,A
Aroma Spa & Sports,3.5,116,$$,87,B
Taihei,4.0,437,$$,92,A
Sloopy's Beach Cafe,4.0,444,$$,90,B
The Rabbit Hole,4.0,361,$$,92,A
ChinaWok,3.5,59,$,92,A
The Park's Finest,4.0,1802,$$,94,A
The Pizzeria Factory,4.5,516,$,91,A
Thank U Pho,4.0,557,$,92,A
Lucky Lizard Bar,4.5,42,$,100,A
D'amore's Famous Pizza,3.0,129,$$,94,A
Tin Roof Bistro,4.0,1904,$$,80,C
Cafe Sole,4.5,234,$$,94,A
The Donut,4.5,53,$,94,A
Domino's Pizza,2.5,70,$,93,A
Sunny's Sushi Hut,4.0,409,$$,94,A
Souplantation,3.5,554,$$,90,B
Cactus Mexican Cuisine,3.0,58,$$,92,A
Gjelina,3.5,4396,$$$,95,A
The Warehouse Restaurant,3.0,817,$$$,90,B
Cosa Buona,4.0,215,$$,95,A
The Six Chow House,4.0,709,$$,91,A
Sidewalk Grill,4.5,815,$$,96,A
Carl's Jr,1.5,60,$,95,A
Birrieria La Suprema,4.0,79,$,94,A
El Taurino,3.5,1969,$,97,A
Tres Palmas,3.5,56,$$,92,A
Sweet Retreat Donuts,4.5,283,$,96,A
The Park Bar & Grill,4.0,123,$,95,A
Salata,3.5,46,$$,98,A
Bareburger,4.0,378,$$,95,A
Ortega 120,4.0,1332,$$,90,B
Aoki Japanese Restaurant,3.5,90,$$,94,A
McDonald's,1.5,59,$,96,A
Victory Bread,4.5,47,$,90,B
Massis Kabob - The Original Kabobery,3.0,305,$,96,A
Classic Coffee,4.5,268,$,97,A
Palermo Pizza,3.5,64,$$,95,A
Tara's Himalayan Cuisine,4.0,92,$$,96,A
Inca Gourmet Restaurant,3.5,78,$,92,A
I Heart Boba,4.0,282,$,97,A
Bistro Na's,4.0,456,$$,92,A
More Than Waffles,4.5,2060,$$,97,A
Bricks & Scones,4.0,1272,$$,93,A
Boba Express,4.5,188,$,95,A
Engine Co No 28,3.0,693,$$,96,A
Son of a Gun,4.0,1591,$$$,94,A
The Courtyard Kitchen,4.0,294,$$,93,A
Have Some Coffee,4.0,159,$,95,A
mar'sel,4.0,435,$$$$,90,B
Kenny's Q BAR-B-QUE and MORE,4.0,58,$$,93,A
Forma Restaurant & Cheese Bar,4.5,821,$$$,99,A
El Burro - Tacos & Beer,4.0,191,$,95,A
Natraliart Jamaican Restaurant & Market,4.0,135,$$,90,B
Bacio di Latte,4.5,148,$$,96,A
Phonomenal,4.0,717,$$,90,B
La Salsa,3.5,72,$,91,A
Silver Reign,3.0,65,$$,100,A
Gyu-Kaku Japanese BBQ,3.5,967,$$,90,B
Bravo's Charburgers,4.0,139,$,92,A
Yuchun,4.0,997,$$,90,B
Ollo,4.0,542,$$,93,A
Mi Casita,4.0,176,$$,93,A
Lassens Natural Foods & Vitamins,3.0,197,$$,90,B
Chipotle Mexican Grill,2.0,141,$,99,A
Bugis Street Brasserie,3.5,126,$$,98,A
Shawarma Factory,4.0,171,$,95,A
I Love Boba,4.0,221,$,95,A
Banana Bay Restaurant,3.5,2628,$$,90,B
Eagle Rock Italian Bakery & Deli,4.5,471,$,97,A
The Gables,4.5,145,na,96,A
Shau Mei Taiwanese Deli,3.5,76,$,91,A
El Pollo Loco,2.0,60,$,96,A
Biriyani Factory,3.5,208,$$,90,B
Yummy.com,3.5,132,$$,94,A
La Gordita Restaurant,4.5,100,$,95,A
Koi Thai Cuisine,4.5,229,$,91,A
TeaPop,4.0,521,$,96,A
El Bukanas,3.5,108,$$,90,B
SusieCakes,4.5,271,$$,95,A
Red O Restaurants,4.0,404,$$$,98,A
San Antonio Bakery,4.0,46,$,98,A
Costa Grande,4.5,774,$,95,A
Carnitas Michoacan,3.5,39,$,92,A
Mel's Drive In,3.0,838,$$,92,A
Terranea Resort,4.0,1093,na,90,B
Wasabi Japanese Noodle House,3.0,211,$,90,B
India Sweet And Spice,4.5,51,$,88,B
Tropicalia Brazilian Grill,4.0,561,$$,92,A
Rolling Factory,4.0,78,$$,92,A
Cafe Rio Mexican Grill,3.0,405,$,95,A
Presto Deli,4.0,44,$,92,A
The Morrison,4.5,3897,$$,94,A
OO-KOOK Korean BBQ,4.0,1387,$$,92,A
Star Of Siam on Lincoln,4.0,208,$$,92,A
Pho Cafe,3.5,1316,$,95,A
Ono Grill,3.5,323,$,90,B
Fusion Burgers,4.0,697,$$,96,A
Beverly Glen Deli,3.5,139,$$,91,A
The Pot Thai Cafe,3.5,150,$,91,A
Taco Ready,3.5,74,$,90,B
Chio's Peruvian Grill,4.0,194,$$,91,A
Komatsu,4.0,78,$$,90,B
Doheny Room,3.0,249,$$$,95,A
Helados POPS Ice Cream,5.0,400,$,94,A
Pagliacci's Trattoria Taverna,4.0,289,$$,93,A
Darabar Secret Thai Cuisine,3.5,100,$$,93,A
South End,4.5,734,$$,93,A
The Cutting Board,4.5,54,$,99,A
Pancake Cottage,3.5,703,$$,80,C
Kopan Ramen - UCLA,4.0,185,$$,93,A
O Sushi,3.0,148,$$,95,A
Asian Fusion,4.0,307,$$,90,B
Marino's Italian Restaurant,4.0,230,$$,96,A
El 7 Mares Express,3.5,63,$,94,A
Greek Theatre,4.0,946,$$,90,B
Sharky's Woodfired Mexican Grill,4.0,168,$$,95,A
A-1 Chinese BBQ,4.0,137,$$,93,A
The Coffee Bean & Tea Leaf,3.5,50,$,96,A
Tastea,4.5,126,$,96,A
Parkway Restaurant,4.5,130,$$,95,A
The Counter,3.5,415,$$,92,A
Tortas Ahogadas Guadalajara,3.5,136,$,90,B
Mongol King,3.5,189,$$,91,A
Bottega Louie,4.0,15786,$$,97,A
