,Name,Inspection_Score,Inspection_Grade,Rating,Reviews,Price,Category
0,El Tequilense Restaurant,94,A,4.0,42,$,Mexican
2,Seafood Express,91,A,4.0,266,$,Seafood
3,Pho Rowland Restaurant,93,A,4.0,408,$,Vietnamese
4,Jino's Pars,91,A,4.0,477,$$,Persian/Iranian
5,Pie-Not The Aussie Style Bakery,94,A,4.0,826,$,Bakeries
7,Sushi Gen,98,A,4.5,3536,$$$,Sushi Bars
8,Los Tres Hermanos,90,A,3.5,362,$$,Mexican
9,Bel-Air Bay Club,93,A,4.5,78,NA,Social Clubs
10,Birrieria La Barca Jalisco Restaurant,97,A,3.5,236,$$,Mexican
12,Rigo's Taco,97,A,3.5,42,$,Mexican
13,Mr Churro,94,A,4.0,483,$,Bakeries
14,Edwards West Covina Stadium 18,99,A,3.0,355,NA,Cinema
15,2 For 1 Pizza,95,A,4.0,56,$,Pizza
16,Loteria Grill,98,A,3.5,926,$$,Mexican
17,Panera Bread,96,A,3.0,120,$$,Sandwiches
18,Vivoli Cafe & Trattoria,90,A,3.5,559,$$,Italian
19,BB's Cafe,97,A,5.0,311,$,Soul Food
20,Eagle Rock Noodle & Grill,93,A,3.0,199,$,Noodles
21,Carrows Restaurants,94,A,3.0,152,$$,Diners
22,California Wok,90,A,2.5,256,$$,Cantonese
23,Sprouts Farmers Market,88,B,3.5,178,$$,Farmers Market
24,Crowne Plaza Los Angeles Harbor Hotel,90,A,2.5,161,$$,Hotels
25,Tierra Mia Coffee,100,A,3.5,361,$,Coffee & Tea
26,The Coffee Bean & Tea Leaf,90,A,3.5,82,$,Coffee & Tea
27,Rice Garden,93,A,2.5,68,$,Fast Food
28,J Trani's Ristorante,94,A,4.5,318,$$,Italian
29,BrewCo,91,A,4.0,582,$$,Breweries
30,The Second City Hollywood,92,A,4.5,136,$,Performing Arts
32,Potato & Tea,90,A,4.0,128,$,Cafes
33,Frutibionicos,94,A,4.0,44,$,Desserts
34,A & T Burgers,94,A,4.0,59,$,Burgers
36,Curry House CoCo Ichibanya,90,A,3.5,356,$$,Japanese Curry
37,Asanebo,94,A,4.0,534,$$$$,Sushi Bars
38,Trimana Grill,97,A,4.0,116,$,Burgers
39,MulDaePo BBQ,94,A,4.5,56,$$,Korean
40,China Great Buffet,90,A,3.0,275,$$,Chinese
41,Yummy.com,94,A,3.5,132,$$,Grocery
44,Flame Broiler,95,A,4.0,100,$,Fast Food
46,Pane E Vino,93,A,4.0,274,$$,Italian
47,Canton Kitchen,92,A,3.5,72,$,Chinese
48,Cafe Cuba & Cakes,87,B,4.0,260,$,Coffee & Tea
49,Polly's Pies Restaurant,90,A,3.5,283,$$,Bakeries
51,El Delfin,90,A,4.0,64,$$,Mexican
52,Okane Umi,82,B,4.5,169,$$,Sushi Bars
53,Bettolino Kitchen,96,A,4.5,351,$$,Italian
54,Summer Buffalo,93,A,4.0,391,$$,Thai
56,East Garden Restaurant,91,A,4.0,85,$$,Hong Kong Style Cafe
57,Kogi Teriyaki,92,A,4.5,92,$,Korean
58,Fatburger,92,A,3.5,195,$$,Burgers
59,True Food Kitchen,91,A,4.0,2088,$$,American (New)
61,LA Café,94,A,3.5,1759,$$,Breakfast & Brunch
62,Shakey's Pizza Parlor,98,A,4.0,189,$$,Pizza
63,Western Bagel Too,95,A,4.0,245,$,Bakeries
64,Hae Ha Heng Thai Bistro,96,A,4.5,965,$$,Thai
65,L&L Hawaiian Barbecue,91,A,3.5,85,$,Hawaiian
66,Dignity Health - Northridge Hospital Medical Center,98,A,2.5,248,NA,Medical Centers
67,El Curtido,95,A,3.5,157,$,Mexican
69,The Village Bakery and Cafe,90,A,4.0,915,$$,Bakeries
70,Polly's Pies Restaurant,96,A,4.0,334,$$,Bakeries
72,Judi's Deli,90,A,3.5,44,$,Delis
74,Terra Cotta,94,A,4.0,361,$$,Bars
75,Fresco,95,A,2.5,91,$$,American (Traditional)
76,Pots n' Woks,85,B,4.0,183,$,Chinese
77,Cabo Taco,91,A,4.5,146,$,Mexican
79,Mi Casita,93,A,4.0,176,$$,Mexican
80,Taqueria El Diablo,87,B,3.5,171,$,Mexican
81,SUGARFISH by sushi nozawa,99,A,4.0,373,$$$,Japanese
82,Greenbelt,92,A,4.0,305,$$,American (Traditional)
83,Popeyes Louisiana Kitchen,100,A,2.5,71,$,Fast Food
85,Submariner,93,A,4.5,204,$,American (Traditional)
86,Pep Boys,97,A,2.5,446,NA,Auto Repair
87,Mariscos Maria's Restaurant,95,A,3.5,109,$$,Mexican
89,Lordsburg Taphouse and Grill,95,A,3.5,299,$$,American (Traditional)
91,La Michoacana 100% Tradicional,95,A,4.5,52,$,Ice Cream & Frozen Yogurt
92,Cafe Dulce,98,A,4.0,2024,$,Coffee & Tea
94,Tiny's Submarines,98,A,4.0,78,$,Sandwiches
95,São Açaí,94,A,4.0,170,$$,Juice Bars & Smoothies
96,La Michoacana Ice Cream and Antojitos,91,A,4.5,69,$,Ice Cream & Frozen Yogurt
97,Salsa & Beer,91,A,4.0,2769,$$,Mexican
100,Rubio's,99,A,4.0,163,$,Mexican
101,Manny's Pizzeria,91,A,4.0,163,$$,Pizza
103,Cole's French Dip,96,A,3.5,2096,$$,Bars
104,3 Brothers Teriyaki,91,A,3.5,120,$,Japanese
105,The Crepery Cafe,80,B,3.5,62,$$,Creperies
106,Panda Wok  BBQ,82,B,3.0,53,$,Chinese
107,Ohana Hawaiian BBQ,96,A,4.0,54,$,Hawaiian
