,Name,Inspection_Score,Inspection_Grade,Rating,Reviews,Price,Category
0,El Tequilense Restaurant,94,A,4.0,42,$,Mexican
1,Seafood Express,91,A,4.0,266,$,Seafood
2,Pho Rowland Restaurant,93,A,4.0,408,$,Vietnamese
3,Jino's Pars,91,A,4.0,477,$$,Persian/Iranian
4,Pie-Not The Aussie Style Bakery,94,A,4.0,826,$,Bakeries
5,Sushi Gen,98,A,4.5,3536,$$$,Sushi Bars
6,Los Tres Hermanos,90,A,3.5,362,$$,Mexican
7,Bel-Air Bay Club,93,A,4.5,78,NA,Social Clubs
8,Birrieria La Barca Jalisco Restaurant,97,A,3.5,236,$$,Mexican
9,Rigo's Taco,97,A,3.5,42,$,Mexican
10,Mr Churro,94,A,4.0,483,$,Bakeries
11,Edwards West Covina Stadium 18,99,A,3.0,355,NA,Cinema
12,2 For 1 Pizza,95,A,4.0,56,$,Pizza
13,Loteria Grill,98,A,3.5,926,$$,Mexican
14,Panera Bread,96,A,3.0,120,$$,Sandwiches
15,Vivoli Cafe & Trattoria,90,A,3.5,559,$$,Italian
16,BB's Cafe,97,A,5.0,311,$,Soul Food
17,Eagle Rock Noodle & Grill,93,A,3.0,199,$,Noodles
18,Carrows Restaurants,94,A,3.0,152,$$,Diners
19,California Wok,90,A,2.5,256,$$,Cantonese
20,Sprouts Farmers Market,88,B,3.5,178,$$,Farmers Market
21,Crowne Plaza Los Angeles Harbor Hotel,90,A,2.5,161,$$,Hotels
22,Tierra Mia Coffee,100,A,3.5,361,$,Coffee & Tea
23,The Coffee Bean & Tea Leaf,90,A,3.5,82,$,Coffee & Tea
24,Rice Garden,93,A,2.5,68,$,Fast Food
25,J Trani's Ristorante,94,A,4.5,318,$$,Italian
26,BrewCo,91,A,4.0,582,$$,Breweries
27,The Second City Hollywood,92,A,4.5,136,$,Performing Arts
28,Potato & Tea,90,A,4.0,128,$,Cafes
29,Frutibionicos,94,A,4.0,44,$,Desserts
30,A & T Burgers,94,A,4.0,59,$,Burgers
31,Curry House CoCo Ichibanya,90,A,3.5,356,$$,Japanese Curry
32,Asanebo,94,A,4.0,534,$$$$,Sushi Bars
33,Trimana Grill,97,A,4.0,116,$,Burgers
34,MulDaePo BBQ,94,A,4.5,56,$$,Korean
35,China Great Buffet,90,A,3.0,275,$$,Chinese
36,Yummy.com,94,A,3.5,132,$$,Grocery
37,Flame Broiler,95,A,4.0,100,$,Fast Food
38,Pane E Vino,93,A,4.0,274,$$,Italian
39,Canton Kitchen,92,A,3.5,72,$,Chinese
40,Cafe Cuba & Cakes,87,B,4.0,260,$,Coffee & Tea
41,Polly's Pies Restaurant,90,A,3.5,283,$$,Bakeries
42,El Delfin,90,A,4.0,64,$$,Mexican
43,Okane Umi,82,B,4.5,169,$$,Sushi Bars
44,Bettolino Kitchen,96,A,4.5,351,$$,Italian
45,Summer Buffalo,93,A,4.0,391,$$,Thai
46,East Garden Restaurant,91,A,4.0,85,$$,Hong Kong Style Cafe
47,Kogi Teriyaki,92,A,4.5,92,$,Korean
48,Fatburger,92,A,3.5,195,$$,Burgers
49,True Food Kitchen,91,A,4.0,2088,$$,American (New)
50,LA Café,94,A,3.5,1759,$$,Breakfast & Brunch
51,Shakey's Pizza Parlor,98,A,4.0,189,$$,Pizza
52,Western Bagel Too,95,A,4.0,245,$,Bakeries
53,Hae Ha Heng Thai Bistro,96,A,4.5,965,$$,Thai
54,L&L Hawaiian Barbecue,91,A,3.5,85,$,Hawaiian
55,Dignity Health - Northridge Hospital Medical Center,98,A,2.5,248,NA,Medical Centers
56,El Curtido,95,A,3.5,157,$,Mexican
57,The Village Bakery and Cafe,90,A,4.0,915,$$,Bakeries
58,Polly's Pies Restaurant,96,A,4.0,334,$$,Bakeries
59,Judi's Deli,90,A,3.5,44,$,Delis
60,Terra Cotta,94,A,4.0,361,$$,Bars
61,Fresco,95,A,2.5,91,$$,American (Traditional)
62,Pots n' Woks,85,B,4.0,183,$,Chinese
63,Cabo Taco,91,A,4.5,146,$,Mexican
64,Mi Casita,93,A,4.0,176,$$,Mexican
65,Taqueria El Diablo,87,B,3.5,171,$,Mexican
66,SUGARFISH by sushi nozawa,99,A,4.0,373,$$$,Japanese
67,Greenbelt,92,A,4.0,305,$$,American (Traditional)
68,Popeyes Louisiana Kitchen,100,A,2.5,71,$,Fast Food
69,Submariner,93,A,4.5,204,$,American (Traditional)
70,Pep Boys,97,A,2.5,446,NA,Auto Repair
71,Mariscos Maria's Restaurant,95,A,3.5,109,$$,Mexican
72,Lordsburg Taphouse and Grill,95,A,3.5,299,$$,American (Traditional)
73,La Michoacana 100% Tradicional,95,A,4.5,52,$,Ice Cream & Frozen Yogurt
74,Cafe Dulce,98,A,4.0,2024,$,Coffee & Tea
75,Tiny's Submarines,98,A,4.0,78,$,Sandwiches
76,São Açaí,94,A,4.0,170,$$,Juice Bars & Smoothies
77,La Michoacana Ice Cream and Antojitos,91,A,4.5,69,$,Ice Cream & Frozen Yogurt
78,Salsa & Beer,91,A,4.0,2769,$$,Mexican
79,Rubio's,99,A,4.0,163,$,Mexican
80,Manny's Pizzeria,91,A,4.0,163,$$,Pizza
81,Cole's French Dip,96,A,3.5,2096,$$,Bars
82,3 Brothers Teriyaki,91,A,3.5,120,$,Japanese
83,The Crepery Cafe,80,B,3.5,62,$$,Creperies
84,Panda Wok  BBQ,82,B,3.0,53,$,Chinese
85,Ohana Hawaiian BBQ,96,A,4.0,54,$,Hawaiian
86,Loews Santa Monica,90,A,3.5,413,$$$,Hotels
87,Toasted Bun,90,A,3.5,311,$,Breakfast & Brunch
88,Shekarchi Kabob,94,A,5.0,77,$$,Mediterranean
89,TAO Asian Bistro,98,A,4.0,679,$$$,Asian Fusion
90,Tacos Tu Madre,90,A,4.0,950,$,Tapas/Small Plates
91,Jersey Mike's Subs,96,A,3.5,63,$,Sandwiches
92,Artesia Bar,95,A,3.5,44,$$,Karaoke
93,The Back Abbey,96,A,4.0,1810,$$,Burgers
94,Quickie's Pizzas & Subs,90,A,4.0,167,$,Pizza
95,Super Burrito,93,A,4.0,252,$,Mexican
96,Etorna Restaurant,95,A,4.0,88,$$,Italian
97,Pizza Boy,91,A,4.5,507,$$,Pizza
98,The Coffee Bean & Tea Leaf,94,A,3.0,69,$,Coffee & Tea
99,La Moderna Bakery,93,A,4.0,212,$,Bakeries
100,Elabrew Coffee,92,A,4.0,160,$,Cafes
101,Kabuki Japanese Restaurant,90,A,3.5,706,$$,Sushi Bars
102,KFC,93,A,2.0,42,$,Fast Food
103,My Thai,90,A,4.0,486,$$,Thai
104,Casa Jimenez,91,A,3.5,152,$,Mexican
105,Seven Grand,90,A,4.0,2046,$$,Lounges
106,Mr. Sate,90,A,4.5,170,$$,Indonesian
107,Town Kitchen & Grill,92,A,4.0,286,$$,American (New)
108,V Cafe,94,A,4.0,178,$$,Cafes
109,Hunan Spicy Taste Restaurant,90,A,3.0,77,$$,Chinese
